Date,BTC_Price,MSTR_Price,BTC_Holdings,NAV,Market_Cap,NAV_Premium
2022-05-25,29562.361328125,19.812000274658203,124391.0,3677291687.966797,4834128067.016602,0.31458923501644454
2022-05-26,29267.224609375,21.61000061035156,124391.0,3640579336.3847656,5272840148.92578,0.448351941194588
2022-05-27,28627.57421875,21.93899917602539,124391.0,3561012584.6445312,5353115798.950195,0.5032566360572287
2022-05-28,28814.900390625,,124391.0,3584314274.4902344,,
2022-05-29,29445.95703125,,124391.0,3662812041.0742188,,
2022-05-30,31726.390625,,124391.0,3946477456.234375,,
2022-05-31,31792.310546875,26.4689998626709,124391.0,3954677301.236328,6458435966.491699,0.6331132667822569
2022-06-01,29799.080078125,23.81399917602539,124391.0,3706737369.998047,5810615798.950195,0.5675822749085827
2022-06-02,30467.48828125,24.445999145507812,124391.0,3789881334.7929688,5964823791.503906,0.5738814133160053
2022-06-03,29704.390625,22.722000122070312,124391.0,3694958854.234375,5544168029.785156,0.5004681374006673
2022-06-04,29832.9140625,,124391.0,3710946013.1484375,,
2022-06-05,29906.662109375,,124391.0,3720119606.4472656,,
2022-06-06,31370.671875,23.54400062561035,124391.0,3902229245.203125,5744736152.648926,0.47216777684466654
2022-06-07,31155.478515625,24.0,124391.0,3875461128.0371094,5856000000.0,0.5110459907943956
2022-06-08,30214.35546875,23.288999557495117,124391.0,3758393891.1132812,5682515892.028809,0.5119532589346508
2022-06-09,30111.998046875,21.775999069213867,124391.0,3745661549.048828,5313343772.888184,0.41853280209939203
2022-06-10,29083.8046875,20.336000442504883,124391.0,3617763548.8828125,4961984107.971191,0.37156119821691563
2022-06-11,28360.810546875,,124391.0,3527829584.736328,,
2022-06-12,26762.6484375,,124391.0,3329032601.7890625,,
2022-06-13,22487.388671875,15.21500015258789,124391.0,2797228764.283203,3712460037.2314453,0.3271921426786745
2022-06-14,22206.79296875,15.687000274658203,124391.0,2762325184.1757812,3827628067.0166016,0.38565440772270404
2022-06-15,22572.83984375,17.134000778198242,124391.0,2807858121.0039062,4180696189.880371,0.48892715006042675
2022-06-16,20381.650390625,16.134000778198242,124391.0,2535293873.7402344,3936696189.880371,0.5527573472469661
2022-06-17,20471.482421875,16.760000228881836,124391.0,2546468169.939453,4089440055.847168,0.6059262409490089
2022-06-18,19017.642578125,,124391.0,2365623577.935547,,
2022-06-19,20553.271484375,,124391.0,2556641993.2128906,,
2022-06-20,20599.537109375,,124391.0,2562397020.5722656,,
2022-06-21,20710.59765625,17.895999908447266,124391.0,2576211953.0585938,4366623977.661133,0.6949785410617639
2022-06-22,19987.029296875,17.090999603271484,124391.0,2486206561.267578,4170203903.198242,0.6773360541177591
